government,department,programme,subprogramme,financial_year,budget_phase,value
Gauteng,Education,EXAMINATION AND EDUCATION RELATED SERVICES,Conditional Grants,2020,Medium Term Estimates,0.0
Gauteng,Education,EXAMINATION AND EDUCATION RELATED SERVICES,Payments to SETA,2018,Main appropriation,95072000.0
Gauteng,Education,EXAMINATION AND EDUCATION RELATED SERVICES,Payments to SETA,2019,Medium Term Estimates,101593000.0
Gauteng,Education,EXAMINATION AND EDUCATION RELATED SERVICES,Payments to SETA,2020,Medium Term Estimates,107181000.0
Gauteng,Education,EXAMINATION AND EDUCATION RELATED SERVICES,EXTERNAL EXAMINATIONS,2018,Main appropriation,454218000.0
Gauteng,Education,EXAMINATION AND EDUCATION RELATED SERVICES,EXTERNAL EXAMINATIONS,2019,Medium Term Estimates,480563000.0
Gauteng,Education,EXAMINATION AND EDUCATION RELATED SERVICES,EXTERNAL EXAMINATIONS,2020,Medium Term Estimates,506994000.0
Gauteng,Education,EXAMINATION AND EDUCATION RELATED SERVICES,PROFESSIONAL SERVICES,2018,Main appropriation,451096000.0
Gauteng,Education,EXAMINATION AND EDUCATION RELATED SERVICES,PROFESSIONAL SERVICES,2019,Medium Term Estimates,477259000.0
Gauteng,Education,EXAMINATION AND EDUCATION RELATED SERVICES,PROFESSIONAL SERVICES,2020,Medium Term Estimates,503508000.0
Gauteng,Education,EXAMINATION AND EDUCATION RELATED SERVICES,SPECIAL PROJECTS,2018,Main appropriation,492238000.0
Gauteng,Education,EXAMINATION AND EDUCATION RELATED SERVICES,SPECIAL PROJECTS,2019,Medium Term Estimates,520788000.0
Gauteng,Education,EXAMINATION AND EDUCATION RELATED SERVICES,SPECIAL PROJECTS,2020,Medium Term Estimates,549431000.0
Gauteng,Education,Independent School Subsidies,Primary Phase,2018,Main appropriation,436101000.0
Gauteng,Education,Independent School Subsidies,Primary Phase,2019,Medium Term Estimates,461395000.0
Gauteng,Education,Independent School Subsidies,Primary Phase,2020,Medium Term Estimates,486772000.0
Gauteng,Education,Independent School Subsidies,Secondary Phase,2018,Main appropriation,295651000.0
Gauteng,Education,Independent School Subsidies,Secondary Phase,2019,Medium Term Estimates,312799000.0
Gauteng,Education,Independent School Subsidies,Secondary Phase,2020,Medium Term Estimates,330003000.0
Gauteng,Education,INFRASTRUCTURE DEVELOPMENT,Administration,2018,Main appropriation,51551000.0
Gauteng,Education,INFRASTRUCTURE DEVELOPMENT,Administration,2019,Medium Term Estimates,63383000.0
Gauteng,Education,INFRASTRUCTURE DEVELOPMENT,Administration,2020,Medium Term Estimates,58092000.0
Gauteng,Education,INFRASTRUCTURE DEVELOPMENT,Early Childhood Development,2018,Main appropriation,115889000.0
Gauteng,Education,INFRASTRUCTURE DEVELOPMENT,Early Childhood Development,2019,Medium Term Estimates,58357000.0
Gauteng,Education,INFRASTRUCTURE DEVELOPMENT,Early Childhood Development,2020,Medium Term Estimates,8585000.0
Gauteng,Education,INFRASTRUCTURE DEVELOPMENT,Public Ordinary Schools,2018,Main appropriation,1413149000.0
Gauteng,Education,INFRASTRUCTURE DEVELOPMENT,Public Ordinary Schools,2019,Medium Term Estimates,1115900000.0
Gauteng,Education,INFRASTRUCTURE DEVELOPMENT,Public Ordinary Schools,2020,Medium Term Estimates,1283490000.0
Gauteng,Education,INFRASTRUCTURE DEVELOPMENT,Special Schools,2018,Main appropriation,115548000.0
Gauteng,Education,INFRASTRUCTURE DEVELOPMENT,Special Schools,2019,Medium Term Estimates,176175000.0
Gauteng,Education,INFRASTRUCTURE DEVELOPMENT,Special Schools,2020,Medium Term Estimates,103262000.0
Gauteng,Education,PUBLIC SPECIAL SCHOOL EDUCATION,Conditional Grants,2018,Main appropriation,26451000.0
Gauteng,Education,PUBLIC SPECIAL SCHOOL EDUCATION,Conditional Grants,2019,Medium Term Estimates,30238000.0
Gauteng,Education,PUBLIC SPECIAL SCHOOL EDUCATION,Conditional Grants,2020,Medium Term Estimates,32715000.0
Gauteng,Education,PUBLIC SPECIAL SCHOOL EDUCATION,Human Resource Development,2018,Main appropriation,2164000.0
Gauteng,Education,PUBLIC SPECIAL SCHOOL EDUCATION,Human Resource Development,2019,Medium Term Estimates,2290000.0
Gauteng,Education,PUBLIC SPECIAL SCHOOL EDUCATION,Human Resource Development,2020,Medium Term Estimates,2416000.0
Gauteng,Education,PUBLIC SPECIAL SCHOOL EDUCATION,"School sport, culture and media services",2018,Main appropriation,1389000.0
Gauteng,Education,PUBLIC SPECIAL SCHOOL EDUCATION,"School sport, culture and media services",2019,Medium Term Estimates,1470000.0
Gauteng,Education,PUBLIC SPECIAL SCHOOL EDUCATION,"School sport, culture and media services",2020,Medium Term Estimates,1551000.0
Gauteng,Education,PUBLIC SPECIAL SCHOOL EDUCATION,SCHOOLS,2018,Main appropriation,2657573000.0
Gauteng,Education,PUBLIC SPECIAL SCHOOL EDUCATION,SCHOOLS,2019,Medium Term Estimates,2827791000.0
Gauteng,Education,PUBLIC SPECIAL SCHOOL EDUCATION,SCHOOLS,2020,Medium Term Estimates,2983319000.0
Gauteng,E-Government,Administration,Corporate Services,2018,Main appropriation,177559534.0
Gauteng,E-Government,Administration,Corporate Services,2019,Medium Term Estimates,186405000.0
Gauteng,E-Government,Administration,Corporate Services,2020,Medium Term Estimates,202756000.0
Gauteng,E-Government,Administration,Office of the CFO,2018,Main appropriation,52268410.0
Gauteng,E-Government,Administration,Office of the CFO,2019,Medium Term Estimates,56220000.0
Gauteng,E-Government,Administration,Office of the CFO,2020,Medium Term Estimates,59442000.0
Gauteng,E-Government,Administration,Office of the HOD,2018,Main appropriation,10973000.0
Gauteng,E-Government,Administration,Office of the HOD,2019,Medium Term Estimates,11591000.0
Gauteng,E-Government,Administration,Office of the HOD,2020,Medium Term Estimates,12036000.0
Gauteng,E-Government,Administration,Risk Management,2018,Main appropriation,4232000.0
Gauteng,E-Government,Administration,Risk Management,2019,Medium Term Estimates,4539000.0
Gauteng,E-Government,Administration,Risk Management,2020,Medium Term Estimates,4826000.0
Gauteng,E-Government,Human Resources Services,Debt Administration,2018,Main appropriation,23799000.0
Gauteng,E-Government,Human Resources Services,Debt Administration,2019,Medium Term Estimates,25018000.0
Gauteng,E-Government,Human Resources Services,Debt Administration,2020,Medium Term Estimates,26394000.0
Gauteng,E-Government,Human Resources Services,HR Administration Cluster 1,2018,Main appropriation,28172000.0
Gauteng,E-Government,Human Resources Services,HR Administration Cluster 1,2019,Medium Term Estimates,32158000.0
Gauteng,E-Government,Human Resources Services,HR Administration Cluster 1,2020,Medium Term Estimates,33927000.0
Gauteng,E-Government,Human Resources Services,HR Administration Cluster 2,2018,Main appropriation,28225000.0
Gauteng,E-Government,Human Resources Services,HR Administration Cluster 2,2019,Medium Term Estimates,29712000.0
Gauteng,E-Government,Human Resources Services,HR Administration Cluster 2,2020,Medium Term Estimates,31346000.0
Gauteng,E-Government,Human Resources Services,HR Chief  Dir  Support,2018,Main appropriation,1159000.0
Gauteng,E-Government,Human Resources Services,HR Chief  Dir  Support,2019,Medium Term Estimates,1222000.0
Gauteng,E-Government,Human Resources Services,HR Chief  Dir  Support,2020,Medium Term Estimates,1289000.0
Gauteng,E-Government,Human Resources Services,HR Information Management,2018,Main appropriation,6047000.0
Gauteng,E-Government,Human Resources Services,HR Information Management,2019,Medium Term Estimates,6372000.0
Gauteng,E-Government,Human Resources Services,HR Information Management,2020,Medium Term Estimates,6722000.0
Gauteng,E-Government,Human Resources Services,Injury on Duty,2018,Main appropriation,7551000.0
Gauteng,E-Government,Human Resources Services,Injury on Duty,2019,Medium Term Estimates,7937000.0
Gauteng,E-Government,Human Resources Services,Injury on Duty,2020,Medium Term Estimates,8374000.0
Gauteng,E-Government,Human Resources Services,Payroll Services,2018,Main appropriation,26973000.0
Gauteng,E-Government,Human Resources Services,Payroll Services,2019,Medium Term Estimates,28361000.0
Gauteng,E-Government,Human Resources Services,Payroll Services,2020,Medium Term Estimates,29921000.0
Gauteng,E-Government,Information Communication Technology(ICT) Shared Services,APPLICATIONS,2018,Main appropriation,588914000.0
Gauteng,E-Government,Information Communication Technology(ICT) Shared Services,APPLICATIONS,2019,Medium Term Estimates,585489000.0
Gauteng,E-Government,Information Communication Technology(ICT) Shared Services,APPLICATIONS,2020,Medium Term Estimates,616759000.0
Gauteng,E-Government,Information Communication Technology(ICT) Shared Services,BUSINESS ALIGNMENT,2018,Main appropriation,41357000.0
Gauteng,E-Government,Information Communication Technology(ICT) Shared Services,BUSINESS ALIGNMENT,2019,Medium Term Estimates,40514000.0
Gauteng,E-Government,Information Communication Technology(ICT) Shared Services,BUSINESS ALIGNMENT,2020,Medium Term Estimates,42463000.0
Gauteng,E-Government,Information Communication Technology(ICT) Shared Services,INFORMATION COMMUNICATION TECHNOLOGY PROGRAMME SUPPORT,2018,Main appropriation,2895000.0
Gauteng,E-Government,Information Communication Technology(ICT) Shared Services,INFORMATION COMMUNICATION TECHNOLOGY PROGRAMME SUPPORT,2019,Medium Term Estimates,3055000.0
Gauteng,E-Government,Information Communication Technology(ICT) Shared Services,INFORMATION COMMUNICATION TECHNOLOGY PROGRAMME SUPPORT,2020,Medium Term Estimates,3239000.0
Gauteng,E-Government,Information Communication Technology(ICT) Shared Services,OPERATIONS,2018,Main appropriation,273701000.0
Gauteng,E-Government,Information Communication Technology(ICT) Shared Services,OPERATIONS,2019,Medium Term Estimates,324018000.0
Gauteng,E-Government,Information Communication Technology(ICT) Shared Services,OPERATIONS,2020,Medium Term Estimates,341839000.0
Gauteng,Health,Administration,Office of the MEC,2018,Main appropriation,21581000.0
Gauteng,Health,Administration,Office of the MEC,2019,Medium Term Estimates,22789000.0
Gauteng,Health,Administration,Office of the MEC,2020,Medium Term Estimates,24043000.0
Gauteng,Health,Administration,MANAGEMENT,2018,Main appropriation,872357000.0
Gauteng,Health,Administration,MANAGEMENT,2019,Medium Term Estimates,803637000.0
Gauteng,Health,Administration,MANAGEMENT,2020,Medium Term Estimates,847833000.0
Gauteng,Health,Central Hospital Services,CENTRAL HOSPITALS,2018,Main appropriation,12907527000.0
Gauteng,Health,Central Hospital Services,CENTRAL HOSPITALS,2019,Medium Term Estimates,14301528000.0
Gauteng,Health,Central Hospital Services,CENTRAL HOSPITALS,2020,Medium Term Estimates,15144810000.0
Gauteng,Health,Central Hospital Services,Provincial Tertiary Hospital Services,2018,Main appropriation,3768429000.0
Gauteng,Health,Central Hospital Services,Provincial Tertiary Hospital Services,2019,Medium Term Estimates,3981682000.0
Gauteng,Health,Central Hospital Services,Provincial Tertiary Hospital Services,2020,Medium Term Estimates,4200672000.0
Gauteng,Health,District Health Services,Community Based Services,2018,Main appropriation,1984289000.0
Gauteng,Health,District Health Services,Community Based Services,2019,Medium Term Estimates,2256977000.0
Gauteng,Health,District Health Services,Community Based Services,2020,Medium Term Estimates,2381112000.0
Gauteng,Health,District Health Services,Community Health Centres,2018,Main appropriation,1969307000.0
Gauteng,Health,District Health Services,Community Health Centres,2019,Medium Term Estimates,2144906000.0
Gauteng,Health,District Health Services,Community Health Centres,2020,Medium Term Estimates,2262874000.0
Gauteng,Health,District Health Services,District Hospitals,2018,Main appropriation,3589849000.0
Gauteng,Health,District Health Services,District Hospitals,2019,Medium Term Estimates,3827551000.0
Gauteng,Health,District Health Services,District Hospitals,2020,Medium Term Estimates,4169186000.0
Gauteng,Health,District Health Services,District Management,2018,Main appropriation,525793000.0
Gauteng,Health,District Health Services,District Management,2019,Medium Term Estimates,576249000.0
Gauteng,Health,District Health Services,District Management,2020,Medium Term Estimates,607944000.0
Gauteng,Health,District Health Services,"HIV, AIDS",2018,Main appropriation,4318140000.0
Gauteng,Health,District Health Services,"HIV, AIDS",2019,Medium Term Estimates,4960522000.0
Gauteng,Health,District Health Services,"HIV, AIDS",2020,Medium Term Estimates,5570320000.0
Gauteng,Health,District Health Services,"HIV, AIDS and TB",2018,Main appropriation,147476000.0
Gauteng,Health,District Health Services,"HIV, AIDS and TB",2019,Medium Term Estimates,175298000.0
Gauteng,Health,District Health Services,"HIV, AIDS and TB",2020,Medium Term Estimates,190680000.0
Gauteng,Health,District Health Services,Nutrition,2018,Main appropriation,58548000.0
Gauteng,Health,District Health Services,Nutrition,2019,Medium Term Estimates,61827000.0
Gauteng,Health,District Health Services,Nutrition,2020,Medium Term Estimates,65227000.0
Gauteng,Health,District Health Services,COMMUNITY HEALTH CLINICS,2018,Main appropriation,2471605000.0
Gauteng,Health,District Health Services,COMMUNITY HEALTH CLINICS,2019,Medium Term Estimates,2657066000.0
Gauteng,Health,District Health Services,COMMUNITY HEALTH CLINICS,2020,Medium Term Estimates,2803205000.0
Gauteng,Health,District Health Services,CORONER SERVICES,2018,Main appropriation,240133000.0
Gauteng,Health,District Health Services,CORONER SERVICES,2019,Medium Term Estimates,253627000.0
Gauteng,Health,District Health Services,CORONER SERVICES,2020,Medium Term Estimates,267577000.0
Gauteng,Health,Emergency Medical Services,EMERGENCY TRANSPORT,2018,Main appropriation,1271046000.0
Gauteng,Health,Emergency Medical Services,EMERGENCY TRANSPORT,2019,Medium Term Estimates,1302218000.0
Gauteng,Health,Emergency Medical Services,EMERGENCY TRANSPORT,2020,Medium Term Estimates,1386314000.0
Gauteng,Health,Emergency Medical Services,PLANNED PATIENT TRANSPORT,2018,Main appropriation,179839000.0
Gauteng,Health,Emergency Medical Services,PLANNED PATIENT TRANSPORT,2019,Medium Term Estimates,189911000.0
Gauteng,Health,Emergency Medical Services,PLANNED PATIENT TRANSPORT,2020,Medium Term Estimates,200356000.0
Gauteng,Health,Health Care Support Services,FOOD SUPPLY SERVICES,2018,Main appropriation,97618000.0
Gauteng,Health,Health Care Support Services,FOOD SUPPLY SERVICES,2019,Medium Term Estimates,93266000.0
Gauteng,Health,Health Care Support Services,FOOD SUPPLY SERVICES,2020,Medium Term Estimates,98395000.0
Gauteng,Health,Health Care Support Services,LAUNDRIES,2018,Main appropriation,212636000.0
Gauteng,Health,Health Care Support Services,LAUNDRIES,2019,Medium Term Estimates,224521000.0
Gauteng,Health,Health Care Support Services,LAUNDRIES,2020,Medium Term Estimates,236868000.0
Gauteng,Health,Health Care Support Services,Medicine Trading Account,2018,Main appropriation,1000.0
Gauteng,Health,Health Care Support Services,Medicine Trading Account,2019,Medium Term Estimates,1000.0
Gauteng,Health,Health Care Support Services,Medicine Trading Account,2020,Medium Term Estimates,1000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,Central Hospital Services,2018,Main appropriation,342543000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,Central Hospital Services,2019,Medium Term Estimates,190205000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,Central Hospital Services,2020,Medium Term Estimates,194139000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,Community Health Facilities,2018,Main appropriation,525745000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,Community Health Facilities,2019,Medium Term Estimates,251552000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,Community Health Facilities,2020,Medium Term Estimates,297808000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,District Hospital Services,2018,Main appropriation,253364000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,District Hospital Services,2019,Medium Term Estimates,89358000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,District Hospital Services,2020,Medium Term Estimates,39538000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,EMERGENCY MEDICAL RESCUE SERVICES,2018,Main appropriation,10536000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,EMERGENCY MEDICAL RESCUE SERVICES,2019,Medium Term Estimates,1812000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,EMERGENCY MEDICAL RESCUE SERVICES,2020,Medium Term Estimates,2402000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,OTHER FACILITIES,2018,Main appropriation,465539000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,OTHER FACILITIES,2019,Medium Term Estimates,318088000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,OTHER FACILITIES,2020,Medium Term Estimates,353516000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,PROVINCIAL HOSPITAL SERVICES,2018,Main appropriation,278964000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,PROVINCIAL HOSPITAL SERVICES,2019,Medium Term Estimates,77260000.0
Gauteng,Health,HEALTH FACILITIES MANAGEMENT,PROVINCIAL HOSPITAL SERVICES,2020,Medium Term Estimates,91881000.0
Gauteng,Health,Provincial Hospital Services,DENTAL TRAINING HOSPITALS,2018,Main appropriation,581625000.0
Gauteng,Health,Provincial Hospital Services,DENTAL TRAINING HOSPITALS,2019,Medium Term Estimates,625495000.0
Gauteng,Health,Provincial Hospital Services,DENTAL TRAINING HOSPITALS,2020,Medium Term Estimates,671256000.0
Gauteng,Health,Provincial Hospital Services,General Hospitals,2018,Main appropriation,6565923000.0
Gauteng,Health,Provincial Hospital Services,General Hospitals,2019,Medium Term Estimates,6712452000.0
Gauteng,Health,Provincial Hospital Services,General Hospitals,2020,Medium Term Estimates,7214302000.0
Gauteng,Health,Provincial Hospital Services,OTHER SPECIALISED HOSPITALS,2018,Main appropriation,91419000.0
Gauteng,Health,Provincial Hospital Services,OTHER SPECIALISED HOSPITALS,2019,Medium Term Estimates,96548000.0
Gauteng,Health,Provincial Hospital Services,OTHER SPECIALISED HOSPITALS,2020,Medium Term Estimates,101858000.0
Gauteng,Health,Provincial Hospital Services,Psychiatric/Mental Hospital,2018,Main appropriation,1214772000.0
Gauteng,Health,Provincial Hospital Services,Psychiatric/Mental Hospital,2019,Medium Term Estimates,1292167000.0
Gauteng,Health,Provincial Hospital Services,Psychiatric/Mental Hospital,2020,Medium Term Estimates,1363236000.0
Gauteng,Health,Provincial Hospital Services,Tuberculosis Hospitals,2018,Main appropriation,419329000.0
Gauteng,Health,Provincial Hospital Services,Tuberculosis Hospitals,2019,Medium Term Estimates,442813000.0
Gauteng,Health,Provincial Hospital Services,Tuberculosis Hospitals,2020,Medium Term Estimates,467167000.0
Gauteng,Health,HEALTH SCIENCES AND TRAINING,Other Training,2018,Main appropriation,86002000.0
Gauteng,Health,HEALTH SCIENCES AND TRAINING,Other Training,2019,Medium Term Estimates,91007000.0
Gauteng,Health,HEALTH SCIENCES AND TRAINING,Other Training,2020,Medium Term Estimates,96011000.0
Gauteng,Health,HEALTH SCIENCES AND TRAINING,BURSARIES,2018,Main appropriation,60998000.0
Gauteng,Health,HEALTH SCIENCES AND TRAINING,BURSARIES,2019,Medium Term Estimates,64415000.0
Gauteng,Health,HEALTH SCIENCES AND TRAINING,BURSARIES,2020,Medium Term Estimates,67958000.0
Gauteng,Health,HEALTH SCIENCES AND TRAINING,EMS TRAINING COLLEGES,2018,Main appropriation,37859000.0
Gauteng,Health,HEALTH SCIENCES AND TRAINING,EMS TRAINING COLLEGES,2019,Medium Term Estimates,39954000.0
Gauteng,Health,HEALTH SCIENCES AND TRAINING,EMS TRAINING COLLEGES,2020,Medium Term Estimates,42149000.0
Gauteng,Health,HEALTH SCIENCES AND TRAINING,NURSE TRAINING COLLEGES,2018,Main appropriation,858534000.0
Gauteng,Health,HEALTH SCIENCES AND TRAINING,NURSE TRAINING COLLEGES,2019,Medium Term Estimates,905282000.0
Gauteng,Health,HEALTH SCIENCES AND TRAINING,NURSE TRAINING COLLEGES,2020,Medium Term Estimates,955074000.0
Gauteng,Human Settlements,Administration,Office of the MEC,2018,Main appropriation,512510000.0
Gauteng,Human Settlements,Administration,Office of the MEC,2019,Medium Term Estimates,542206000.0
Gauteng,Human Settlements,Administration,Office of the MEC,2020,Medium Term Estimates,578919000.0
Gauteng,Human Settlements,Housing Assets Management Property Management,Administration,2018,Main appropriation,4467942.699999999
Gauteng,Human Settlements,Housing Assets Management Property Management,Administration,2019,Medium Term Estimates,4662000.0
Gauteng,Human Settlements,Housing Assets Management Property Management,Administration,2020,Medium Term Estimates,4919000.0
Gauteng,Human Settlements,Housing Assets Management Property Management,Devolution of Housing Properties,2018,Main appropriation,40.721200000462
Gauteng,Human Settlements,Housing Assets Management Property Management,Devolution of Housing Properties,2019,Medium Term Estimates,0.0
Gauteng,Human Settlements,Housing Assets Management Property Management,Devolution of Housing Properties,2020,Medium Term Estimates,0.0
Gauteng,Human Settlements,Housing Assets Management Property Management,Housing Properties Maintenance,2018,Main appropriation,59999972.0688
Gauteng,Human Settlements,Housing Assets Management Property Management,Housing Properties Maintenance,2019,Medium Term Estimates,60000000.0
Gauteng,Human Settlements,Housing Assets Management Property Management,Housing Properties Maintenance,2020,Medium Term Estimates,60000000.0
Gauteng,Human Settlements,Housing Assets Management Property Management,Sales and Transfer of Housing Properties,2018,Main appropriation,105811216.2552
Gauteng,Human Settlements,Housing Assets Management Property Management,Sales and Transfer of Housing Properties,2019,Medium Term Estimates,111726000.0
Gauteng,Human Settlements,Housing Assets Management Property Management,Sales and Transfer of Housing Properties,2020,Medium Term Estimates,117890000.0
Gauteng,Human Settlements,Housing Development,Administration,2018,Main appropriation,152722000.0
Gauteng,Human Settlements,Housing Development,Administration,2019,Medium Term Estimates,161968000.0
Gauteng,Human Settlements,Housing Development,Administration,2020,Medium Term Estimates,170876000.0
Gauteng,Human Settlements,Housing Development,Financial Interventions,2018,Main appropriation,1339575000.0
Gauteng,Human Settlements,Housing Development,Financial Interventions,2019,Medium Term Estimates,1384372000.0
Gauteng,Human Settlements,Housing Development,Financial Interventions,2020,Medium Term Estimates,1427146000.0
Gauteng,Human Settlements,Housing Development,Incremental Interventions,2018,Main appropriation,3288072000.0
Gauteng,Human Settlements,Housing Development,Incremental Interventions,2019,Medium Term Estimates,3567488000.0
Gauteng,Human Settlements,Housing Development,Incremental Interventions,2020,Medium Term Estimates,3796443000.0
Gauteng,Human Settlements,Housing Development,Rural Intervention,2018,Main appropriation,2000000.0
Gauteng,Human Settlements,Housing Development,Rural Intervention,2019,Medium Term Estimates,16095000.0
Gauteng,Human Settlements,Housing Development,Rural Intervention,2020,Medium Term Estimates,40903000.0
Gauteng,Human Settlements,Housing Development,Social and Rental Intervention,2018,Main appropriation,381489000.0
Gauteng,Human Settlements,Housing Development,Social and Rental Intervention,2019,Medium Term Estimates,225012000.0
Gauteng,Human Settlements,Housing Development,Social and Rental Intervention,2020,Medium Term Estimates,291269000.0
Gauteng,Human Settlements,"Housing Needs, Research And Planning",Administration,2018,Main appropriation,15061676.6061
Gauteng,Human Settlements,"Housing Needs, Research And Planning",Administration,2019,Medium Term Estimates,15905000.0
Gauteng,Human Settlements,"Housing Needs, Research And Planning",Administration,2020,Medium Term Estimates,16780000.0
Gauteng,Human Settlements,"Housing Needs, Research And Planning",Policy,2018,Main appropriation,14963114.4048
Gauteng,Human Settlements,"Housing Needs, Research And Planning",Policy,2019,Medium Term Estimates,15807000.0
Gauteng,Human Settlements,"Housing Needs, Research And Planning",Policy,2020,Medium Term Estimates,16676000.0
Gauteng,Human Settlements,"Housing Needs, Research And Planning",PLANNING,2018,Main appropriation,11753184.574299999
Gauteng,Human Settlements,"Housing Needs, Research And Planning",PLANNING,2019,Medium Term Estimates,12414000.0
Gauteng,Human Settlements,"Housing Needs, Research And Planning",PLANNING,2020,Medium Term Estimates,13097000.0
Gauteng,Human Settlements,"Housing Needs, Research And Planning",RESEARCH,2018,Main appropriation,0.0
Gauteng,Human Settlements,"Housing Needs, Research And Planning",RESEARCH,2019,Medium Term Estimates,0.0
Gauteng,Human Settlements,"Housing Needs, Research And Planning",RESEARCH,2020,Medium Term Estimates,0.0
Gauteng,Infrastructure Development,Administration,Corporate Support,2018,Main appropriation,306237490.6
Gauteng,Infrastructure Development,Administration,Corporate Support,2019,Medium Term Estimates,316869000.0
Gauteng,Infrastructure Development,Administration,Corporate Support,2020,Medium Term Estimates,345150000.0
Gauteng,Infrastructure Development,Administration,Management of the Department,2018,Main appropriation,12075732.5
Gauteng,Infrastructure Development,Administration,Management of the Department,2019,Medium Term Estimates,12320000.0
Gauteng,Infrastructure Development,Administration,Management of the Department,2020,Medium Term Estimates,12998000.0
Gauteng,Infrastructure Development,Administration,Office of the MEC,2018,Main appropriation,8245836.9
Gauteng,Infrastructure Development,Administration,Office of the MEC,2019,Medium Term Estimates,8707231.503999999
Gauteng,Infrastructure Development,Administration,Office of the MEC,2020,Medium Term Estimates,9186000.0
Gauteng,Infrastructure Development,Expanded Public Works Programme,Community Development,2018,Main appropriation,240563000.0
Gauteng,Infrastructure Development,Expanded Public Works Programme,Community Development,2019,Medium Term Estimates,95924000.0
Gauteng,Infrastructure Development,Expanded Public Works Programme,Community Development,2020,Medium Term Estimates,101200000.0
Gauteng,Infrastructure Development,Expanded Public Works Programme,Programme Support CBP,2018,Main appropriation,77200000.0
Gauteng,Infrastructure Development,Expanded Public Works Programme,Programme Support CBP,2019,Medium Term Estimates,230694000.0
Gauteng,Infrastructure Development,Expanded Public Works Programme,Programme Support CBP,2020,Medium Term Estimates,241169000.0
Gauteng,Infrastructure Development,Public Works Infrastructure,Construction,2018,Main appropriation,270648870.07250005
Gauteng,Infrastructure Development,Public Works Infrastructure,Construction,2019,Medium Term Estimates,206749000.0
Gauteng,Infrastructure Development,Public Works Infrastructure,Construction,2020,Medium Term Estimates,175738000.0
Gauteng,Infrastructure Development,Public Works Infrastructure,Immovable Asset Management,2018,Main appropriation,1519656000.0
Gauteng,Infrastructure Development,Public Works Infrastructure,Immovable Asset Management,2019,Medium Term Estimates,1588261000.0
Gauteng,Infrastructure Development,Public Works Infrastructure,Immovable Asset Management,2020,Medium Term Estimates,1676681000.0
Gauteng,Infrastructure Development,Public Works Infrastructure,Maintenance,2018,Main appropriation,602337000.0
Gauteng,Infrastructure Development,Public Works Infrastructure,Maintenance,2019,Medium Term Estimates,663170000.0
Gauteng,Infrastructure Development,Public Works Infrastructure,Maintenance,2020,Medium Term Estimates,699644000.0
Gauteng,Office Of The Premier,Administration,Director General,2018,Main appropriation,78752000.0
Gauteng,Office Of The Premier,Administration,Director General,2019,Medium Term Estimates,39421000.0
Gauteng,Office Of The Premier,Administration,Director General,2020,Medium Term Estimates,27761000.0
Gauteng,Office Of The Premier,Administration,Executive council Support,2018,Main appropriation,11683000.0
Gauteng,Office Of The Premier,Administration,Executive council Support,2019,Medium Term Estimates,12257000.0
Gauteng,Office Of The Premier,Administration,Executive council Support,2020,Medium Term Estimates,12931000.0
Gauteng,Office Of The Premier,Administration,Financial Management,2018,Main appropriation,47587000.0
Gauteng,Office Of The Premier,Administration,Financial Management,2019,Medium Term Estimates,50498000.0
Gauteng,Office Of The Premier,Administration,Financial Management,2020,Medium Term Estimates,53275000.0
Gauteng,Office Of The Premier,Administration,Premier's Support,2018,Main appropriation,21957000.0
Gauteng,Office Of The Premier,Administration,Premier's Support,2019,Medium Term Estimates,24908000.0
Gauteng,Office Of The Premier,Administration,Premier's Support,2020,Medium Term Estimates,26278000.0
Gauteng,Office Of The Premier,Administration,Programme Support,2018,Main appropriation,1547000.0
Gauteng,Office Of The Premier,Administration,Programme Support,2019,Medium Term Estimates,1624000.0
Gauteng,Office Of The Premier,Administration,Programme Support,2020,Medium Term Estimates,1713000.0
Gauteng,Office Of The Premier,Institutional Development,Communication Services,2018,Main appropriation,85921000.0
Gauteng,Office Of The Premier,Institutional Development,Communication Services,2019,Medium Term Estimates,90294000.0
Gauteng,Office Of The Premier,Institutional Development,Communication Services,2020,Medium Term Estimates,95261000.0
Gauteng,Office Of The Premier,Institutional Development,Information Communication,2018,Main appropriation,12783000.0
Gauteng,Office Of The Premier,Institutional Development,Information Communication,2019,Medium Term Estimates,14169000.0
Gauteng,Office Of The Premier,Institutional Development,Information Communication,2020,Medium Term Estimates,15483000.0
