government,department,programme,subprogramme,financial_year,budget_phase,value
Eastern Cape,Education,Administration,Education Management Information System (EMIS),2018,Main appropriation,54212000.0
Eastern Cape,Education,Administration,Education Management Information System (EMIS),2019,Medium Term Estimates,68368000.0
Eastern Cape,Education,Administration,Education Management Information System (EMIS),2020,Medium Term Estimates,82679000.0
Eastern Cape,Education,Administration,Corporate Services,2018,Main appropriation,1569355983.98786
Eastern Cape,Education,Administration,Corporate Services,2019,Medium Term Estimates,1642493000.0
Eastern Cape,Education,Administration,Corporate Services,2020,Medium Term Estimates,1878800000.0
Eastern Cape,Education,Administration,Education Management,2018,Main appropriation,1353566043.29891
Eastern Cape,Education,Administration,Education Management,2019,Medium Term Estimates,1390349000.0
Eastern Cape,Education,Administration,Education Management,2020,Medium Term Estimates,1527370000.0
Eastern Cape,Education,Administration,Human Resource Development,2018,Main appropriation,19456000.0
Eastern Cape,Education,Administration,Human Resource Development,2019,Medium Term Estimates,20546000.0
Eastern Cape,Education,Administration,Human Resource Development,2020,Medium Term Estimates,21676000.0
Eastern Cape,Education,Administration,Office of the MEC,2018,Main appropriation,15434005.719999999
Eastern Cape,Education,Administration,Office of the MEC,2019,Medium Term Estimates,24746000.0
Eastern Cape,Education,Administration,Office of the MEC,2020,Medium Term Estimates,26107000.0
Eastern Cape,Education,PUBLIC ORDINARY SCHOOL EDUCATION,Conditional Grants,2018,Main appropriation,1289212000.0
Eastern Cape,Education,PUBLIC ORDINARY SCHOOL EDUCATION,Conditional Grants,2019,Medium Term Estimates,1326821000.0
Eastern Cape,Education,PUBLIC ORDINARY SCHOOL EDUCATION,Conditional Grants,2020,Medium Term Estimates,1420002000.0
Eastern Cape,Education,PUBLIC ORDINARY SCHOOL EDUCATION,Human Resource Development,2018,Main appropriation,84870454.0
Eastern Cape,Education,PUBLIC ORDINARY SCHOOL EDUCATION,Human Resource Development,2019,Medium Term Estimates,94214000.0
Eastern Cape,Education,PUBLIC ORDINARY SCHOOL EDUCATION,Human Resource Development,2020,Medium Term Estimates,99396000.0
Eastern Cape,Education,PUBLIC ORDINARY SCHOOL EDUCATION,Public Primary Level,2018,Main appropriation,9754964566.0
Eastern Cape,Education,PUBLIC ORDINARY SCHOOL EDUCATION,Public Primary Level,2019,Medium Term Estimates,10826774000.0
Eastern Cape,Education,PUBLIC ORDINARY SCHOOL EDUCATION,Public Primary Level,2020,Medium Term Estimates,11416745000.0
Eastern Cape,Education,PUBLIC ORDINARY SCHOOL EDUCATION,Public Secondary Level,2018,Main appropriation,16867740734.000002
Eastern Cape,Education,PUBLIC ORDINARY SCHOOL EDUCATION,Public Secondary Level,2019,Medium Term Estimates,17643796000.0
Eastern Cape,Education,PUBLIC ORDINARY SCHOOL EDUCATION,Public Secondary Level,2020,Medium Term Estimates,18758940000.0
Eastern Cape,Education,PUBLIC ORDINARY SCHOOL EDUCATION,"School sport, culture and media services",2018,Main appropriation,60798516.0
Eastern Cape,Education,PUBLIC ORDINARY SCHOOL EDUCATION,"School sport, culture and media services",2019,Medium Term Estimates,30721000.0
Eastern Cape,Education,PUBLIC ORDINARY SCHOOL EDUCATION,"School sport, culture and media services",2020,Medium Term Estimates,39252000.0
Eastern Cape,Education,EARLY CHILDHOOD DEVELOPMENT,Grade R in Public Schools,2018,Main appropriation,759723362.3464689
Eastern Cape,Education,EARLY CHILDHOOD DEVELOPMENT,Grade R in Public Schools,2019,Medium Term Estimates,806569000.0
Eastern Cape,Education,EARLY CHILDHOOD DEVELOPMENT,Grade R in Public Schools,2020,Medium Term Estimates,851883000.0
Eastern Cape,Education,EARLY CHILDHOOD DEVELOPMENT,Human Resource Development,2018,Main appropriation,2451465.61667366
Eastern Cape,Education,EARLY CHILDHOOD DEVELOPMENT,Human Resource Development,2019,Medium Term Estimates,2589000.0
Eastern Cape,Education,EARLY CHILDHOOD DEVELOPMENT,Human Resource Development,2020,Medium Term Estimates,2731000.0
Eastern Cape,Education,EARLY CHILDHOOD DEVELOPMENT,PRE-GRADE R TRAINING,2018,Main appropriation,23324783.6488036
Eastern Cape,Education,EARLY CHILDHOOD DEVELOPMENT,PRE-GRADE R TRAINING,2019,Medium Term Estimates,24855000.0
Eastern Cape,Education,EARLY CHILDHOOD DEVELOPMENT,PRE-GRADE R TRAINING,2020,Medium Term Estimates,26442000.0
Eastern Cape,Education,EXAMINATION AND EDUCATION RELATED SERVICES,Conditional Grants,2018,Main appropriation,43062000.0
Eastern Cape,Education,EXAMINATION AND EDUCATION RELATED SERVICES,Conditional Grants,2019,Medium Term Estimates,45455000.0
Eastern Cape,Education,EXAMINATION AND EDUCATION RELATED SERVICES,Conditional Grants,2020,Medium Term Estimates,47878000.0
Eastern Cape,Education,EXAMINATION AND EDUCATION RELATED SERVICES,Payments to SETA,2018,Main appropriation,67766698.60000001
Eastern Cape,Education,EXAMINATION AND EDUCATION RELATED SERVICES,Payments to SETA,2019,Medium Term Estimates,71562000.0
Eastern Cape,Education,EXAMINATION AND EDUCATION RELATED SERVICES,Payments to SETA,2020,Medium Term Estimates,75498000.0
